warehouse_cluster,warehouse_latitude,warehouse_longitude,address
1,10.78677696,106.7287916,"B31/5A Đ. Trần Não, P. Bình An, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
2,10.79852557,106.6389713,"546 Đ. Trường Chinh, Phường 13, Tân Bình, Thành phố Hồ Chí Minh, Vietnam"
