warehouse_cluster,warehouse_latitude,warehouse_longitude,address
1,10.76239412,106.702165,"109D/16/38 Đ. Bến Vân Đồn, Phường 9, Quận 4, Thành phố Hồ Chí Minh, Vietnam"
2,10.75908648,106.633869,"1 Đ. Lũy Bán Bích, Tân Thới Hoà, Tân Phú, Thành phố Hồ Chí Minh 760000, Vietnam"
3,10.82554415,106.7621383,"129B Đ. Tây Hòa, Phước Long A, Quận 9, Thành phố Hồ Chí Minh, Vietnam"
4,10.83715234,106.646195,"733 Đ. Tân Sơn, Phường 15, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam"
5,10.96965505,106.5285099,"78a Suối Lội, Phước Vĩnh An, Củ Chi, Thành phố Hồ Chí Minh, Vietnam"
